Packet number,Time
1,0.0
2,0.001104246
3,0.007636533
4,0.257636533
5,0.507636533
6,0.54084105
7,0.6190455
8,0.7933205
9,1.0346015
10,1.2846015
11,1.319395
12,1.3412533
13,1.3579489
14,1.6079489
15,1.6224055
16,1.8707001
17,2.131696
18,2.1658429999999997
19,2.304658
20,2.554658
21,2.804658
22,3.021946
23,3.06793
24,3.300335
25,3.353723
26,3.603723
27,3.853723
28,4.08076
29,4.142647999999999
30,4.171252
31,4.198424
32,4.2570879999999995
33,4.5070879999999995
34,4.7570879999999995
35,4.760724
36,5.010724
37,5.260724
38,5.426278
39,5.496376
40,5.5204450000000005
41,5.545344
42,5.592759
43,5.842759
44,5.851888000000001
45,5.8667300000000004
46,6.1167300000000004
47,6.148021
48,6.225686
49,6.468446
50,6.4849619999999994
51,6.7349619999999994
52,7.080157
53,7.176411
54,7.426411
55,7.4699860000000005
56,7.544601
57,7.794601
58,7.814154
59,7.912081000000001
60,7.922188
61,8.008526
62,8.11595
63,8.36595
64,8.491022000000001
65,8.741022000000001
66,9.039657
67,9.289657
68,9.382677000000001
69,9.538181
70,9.578748000000001
71,9.610441
72,9.712641
73,9.720062
74,9.763039
75,10.013039
76,10.090606000000001
77,10.192257
78,10.33532
79,10.437514
80,10.687514
81,10.740584
82,10.990584
83,11.120033
84,11.208596
85,11.36707
86,11.399011
87,11.618112
88,11.709054
89,11.959054
90,12.026938999999999
91,12.219597
92,12.328951
93,12.578951
94,12.883021
95,13.049474
96,13.149047
97,13.491091
98,13.692957
99,13.942957
100,14.192957
101,14.370322999999999
102,14.620322999999999
103,14.647805
104,14.651703999999999
105,14.658933000000001
106,14.908933000000001
107,15.074978
108,15.07597
109,15.32597
110,15.390901
111,15.392012000000001
112,15.401281
113,15.419606
114,15.551055
115,15.657704
116,15.907704
117,15.958443
118,16.208443000000003
119,16.26022
120,16.51022
121,16.58335
122,16.83335
123,17.070301999999998
124,17.149037999999997
125,17.399037999999997
126,17.649037999999997
127,17.731566
128,17.981566
129,17.992300999999998
130,18.015166
131,18.212755
132,18.467509
133,18.546658
134,18.796658
135,18.887907
136,19.032284
137,19.097076
138,19.165728
139,19.415728
140,19.654756
141,19.886580000000002
142,19.96359
143,20.014960000000002
144,20.264960000000002
145,20.28967
146,20.53967
147,20.56002
148,20.58894
149,20.81571
150,20.82566
151,21.26101
152,21.34124
153,21.59124
154,21.59862
155,21.84862
156,21.87997
157,21.97509
158,22.06095
159,22.31095
160,22.40843
161,22.43343
162,22.50178
163,22.71703
164,22.9011
165,23.41182
166,23.49942
167,23.577379999999998
168,23.827379999999998
169,24.077379999999998
170,24.327379999999998
171,24.575490000000002
172,24.71022
173,24.85543
174,24.93222
175,25.18222
176,25.23819
177,25.48819
178,25.53015
179,25.55038
180,25.80038
181,26.05038
182,26.14122
183,26.16425
184,26.41425
185,26.43878
186,26.583109999999998
187,26.62021
188,26.6999
189,26.82984
190,26.86172
191,26.885109999999997
192,26.90806
193,27.000970000000002
194,27.11691
195,27.36691
196,27.40203
197,27.65203
198,27.72855
199,27.814239999999998
200,27.99408
201,28.24408
202,28.31952
203,28.46495
204,28.71495
205,28.80498
206,28.852899999999998
207,29.17354
208,29.42354
209,29.44294
210,29.69294
211,30.02767
212,30.2361
213,30.25175
214,30.50175
215,30.75335
216,30.82376
217,31.07376
218,31.09612
219,31.23543
220,31.28971
221,31.37654
222,31.61436
223,31.68877
224,31.93877
225,32.17223
226,32.42223
227,32.480720000000005
228,32.56463
229,32.81463
230,32.82252
231,33.07252
232,33.11958
233,33.36958
234,33.61958
235,33.629270000000005
236,33.63906
237,33.88906
238,34.13906
239,34.21894
240,34.70518
241,34.70633
242,34.877430000000004
243,35.168800000000005
244,35.28878
245,35.486850000000004
246,35.59074
247,35.84074
248,35.91559
249,35.95121
250,36.20121
251,36.28133
252,36.31128
253,36.41892
254,36.446020000000004
255,36.46626
256,36.7363
257,36.9863
258,37.1565
259,37.24483
260,37.49483
261,37.608940000000004
262,37.65281
263,37.90281
264,38.03215
265,38.10856
266,38.20261
267,38.45261
268,38.639939999999996
269,38.74728
270,38.82643
271,39.03518
272,39.28518
273,39.53518
274,39.78518
275,39.80856
276,40.05856
277,40.109899999999996
278,40.13248
279,40.38248
280,40.46837
281,40.480270000000004
282,40.730270000000004
283,40.74035
284,40.99035
285,41.24035
286,41.29411
287,41.54411
288,41.79411
289,41.85643
290,41.8799
291,42.1299
292,42.269189999999995
293,42.29296
294,42.54296
295,42.644800000000004
296,42.98911
297,43.19301
298,43.227000000000004
299,43.32166
300,43.41199
301,43.56524
302,43.74897
303,43.80591
304,44.05591
305,44.30591
306,44.38389
307,44.63389
308,44.74598
309,45.08122
310,45.17091
311,45.275059999999996
312,45.513999999999996
313,45.763999999999996
314,46.22049
315,46.290729999999996
316,46.540729999999996
317,46.558890000000005
318,46.808890000000005
319,47.045649999999995
320,47.063159999999996
321,47.16223
322,47.1802
323,47.27071
324,47.32262
325,47.51126
326,47.69797
327,47.993390000000005
328,48.05041
329,48.25074
330,48.316590000000005
331,48.370270000000005
332,48.380250000000004
333,48.53617
334,48.78698
335,48.84362
336,49.59362
337,49.60928
338,49.649860000000004
339,50.399860000000004
340,51.149860000000004
341,51.1719
342,51.9219
343,52.6719
344,52.72252
345,52.89597
346,53.64597
347,53.739999999999995
348,53.74332
349,54.01343
350,54.129239999999996
351,54.879239999999996
352,55.06183
353,55.81183
354,56.057680000000005
355,56.807680000000005
356,56.837180000000004
357,56.92492
358,56.95051
359,57.005269999999996
360,57.02557
361,57.77557
362,57.869
363,58.619
364,58.653099999999995
365,58.71664
366,59.46664
367,59.617599999999996
368,59.75681
369,60.50681
370,60.68803
371,61.0291
372,61.222449999999995
373,61.4367
374,61.66062
375,61.70807
376,62.45807
377,62.56528
378,62.98769
379,63.10789
380,63.85789
381,63.975970000000004
382,64.03819
383,64.28822
384,64.33596
385,64.42714000000001
386,64.44871
387,64.46352
388,64.55662
389,64.62239
390,65.37239
391,65.38711
392,66.13711
393,66.46852
394,66.5689
395,66.67908
396,66.69824
397,66.7014
398,66.72214
399,66.73078
400,67.48078
401,68.23078
402,68.25523
403,68.26017999999999
404,68.36482000000001
405,69.11482000000001
406,69.65584
407,69.70331
408,69.91786
409,70.66786
410,70.7681
411,70.79661
412,70.86337
413,71.0683
414,71.12865
415,71.36586
416,71.37437
417,71.41227
418,71.41532000000001
419,72.16532000000001
420,72.2456
421,72.9956
422,73.02736999999999
423,73.77736999999999
424,74.52736999999999
425,74.55756
426,74.58424
427,75.33424
428,75.35220000000001
429,76.10220000000001
430,76.38803999999999
431,76.40938
432,76.50755000000001
433,76.53537
434,77.28537
435,77.30196000000001
436,77.39994
437,77.49061
438,77.60351
439,77.70066
440,77.9747
441,78.40773
442,78.43088
443,78.48649
444,78.54649
445,78.60508
446,78.71846
447,78.77529
448,78.85981000000001
449,78.95707999999999
450,79.24540999999999
451,79.24924
452,79.99924
453,80.10204999999999
454,80.15208
455,80.90208
456,80.92455000000001
457,81.67455000000001
458,81.72166
459,81.74959
460,81.91991999999999
461,82.10112000000001
462,82.85112000000001
463,82.8819
464,82.99002
465,83.06987000000001
466,83.16846000000001
467,83.91846000000001
468,84.09181000000001
469,84.13504
470,84.19521
471,84.29631
472,84.44844
473,84.48458
474,84.62192999999999
475,84.7539
476,85.5039
477,85.54321
478,85.56112999999999
479,85.56827
480,85.58268000000001
481,85.64832
482,85.6648
483,85.89292
484,86.16224
485,86.91224
486,87.02673
487,87.77673
488,87.78863
489,87.89144999999999
490,87.90028000000001
491,87.9702
492,88.28121999999999
493,88.30053000000001
494,88.37375
495,89.12375
496,89.87375
497,90.62375
498,91.37375
499,91.54585
500,91.66105999999999
501,92.03853000000001
502,92.05456000000001
503,92.80456000000001
504,92.8395
505,92.92533
506,93.11076
507,93.22378
508,93.30946
509,93.45233999999999
510,93.58267000000001
511,93.65969
512,93.71795
513,94.46795
514,94.47969
515,94.85522
516,94.91635
517,95.12743
518,95.18045000000001
519,95.93045000000001
520,96.04347
521,96.04481
522,96.05051
523,96.09135
524,96.82334
525,96.91078
526,97.00738
527,97.75738
528,97.79428
529,98.54428
530,98.57011
531,99.32011
532,100.07011
533,100.82011
534,101.57011
535,101.72011
536,101.82900000000001
537,101.83485999999999
538,102.12809
539,102.12996
540,102.13592
541,102.27485999999999
542,102.32301
543,102.38699
544,103.13699
545,103.26593
546,103.42611
547,103.50285
548,103.54263
549,103.70239000000001
550,103.75568
551,103.76588000000001
552,104.51588000000001
553,105.26588000000001
554,106.01588000000001
555,106.1217
556,106.25337999999999
557,106.38311999999999
558,107.13311999999999
559,107.28184
560,107.44436999999999
561,107.57889
562,108.32889
563,108.39844
564,109.14844
565,109.17134
566,109.17537
567,109.17969
568,109.227
569,109.23167000000001
570,109.23895
571,109.28696
572,109.31555
573,110.06555
574,110.25943000000001
575,110.35464
576,110.35464999999999
577,110.44184
578,111.19184
579,111.43961999999999
580,111.46166
581,112.21166
582,112.96166
583,113.00593
584,113.0457
585,113.35872
586,113.39493999999999
587,113.40906
588,113.439
589,113.47479
590,114.22479
591,114.97479
592,115.72479
593,115.73140000000001
594,115.78323
595,115.84799000000001
596,116.01508
597,116.76508
598,116.77170000000001
599,116.94117
600,116.97811
601,116.99803
602,117.17719
603,117.25057000000001
604,118.00057000000001
605,118.01389
606,118.14377
607,118.17444
608,118.22668
609,118.97668
610,118.97744
611,119.0658
612,119.23037
613,119.23722000000001
614,119.25363
615,119.39654
616,119.50784999999999
617,119.54231
618,119.5583
619,120.3083
620,120.33767
621,120.47245000000001
622,121.22245000000001
623,121.34714
624,121.44602
625,121.46222
626,121.5415
627,121.57598
628,121.85285999999999
629,122.12136000000001
630,122.38202
631,122.38607999999999
632,122.40477
633,122.41369
634,122.50784999999999
635,122.54714
636,123.29714
637,123.33676
638,123.54629
639,123.71307
640,123.73131000000001
641,124.48131000000001
642,124.53843
643,124.68594999999999
644,124.70611
645,124.77427
646,125.52427
647,125.59622
648,125.75755000000001
649,125.83700999999999
650,125.84801999999999
651,125.90173
652,125.92842
653,125.99475000000001
654,126.00862000000001
655,126.13245
656,126.20002
657,126.20743999999999
658,126.38729000000001
659,126.55177
660,127.30177
661,127.38448
662,127.39887999999999
663,127.47385
664,127.55112
665,127.56366
